descricao_produto,IA_PRODUTO,IA_LABORATORIO,IA_TIPO DA UNIDADE,IA_QUANTIDADE MG (POR UNIDADE/ML),IA_QUANTIDADE ML,IA_QUANTIDADE UI,IA_QUANTIDADE UNIDADES
: 07 SONDA URETRAL 18,SONDA URETRAL,,UNIDADE,,,,
: 129 OXIDO DE ZINCO ASSOCIADO COM VITAMINA A + VITAMINA,OXIDO DE ZINCO + VITAMINA A + VITAMINA,,UNIDADE,,,,
SULFATO DE SALBUTAMOL 10 MICROGRAMAS DOSE TEUTO,SULFATO DE SALBUTAMOL,TEUTO,,"0,01",,,
"DEXAMENTASONA 0 , 01 MG / ML",DEXAMENTASONA,,SOLUCAO,"0,01",,,
"DEXAMETASONA 0 , 1 MG 10 ML FRA",DEXAMETASONA,,FRASCO,"0,01",10,,
"DEXAMETASONA 0 , 01 MG / ML FRAS",DEXAMETASONA,,FRASCO,"0,01",,,
"DEXAMETASONA 0 , 01 MG / ML FRASCO",DEXAMETASONA,,FRASCO,"0,01",,,
"DEXAMETASONA 0 , 01 MG / ML",DEXAMETASONA,,SOLUCAO,"0,01",,,
"VITAMINA C 0 , 01 MG / 05 INJETAVEL",VITAMINA C,,INJETAVEL,"0,01",5,,
FLUIR 12 MCG COM 30 CAP REFIL,FLUIR,,COMPRIMIDO/CAPSULA,"0,01",,,30
FLUIR 12 MCG PO INAL 30 CAPINA,FLUIR,,COMPRIMIDO/CAPSULA,"0,01",,,30
FLUIR 12 MCG CX 60 CAP REFIL,FLUIR,,INALADOR,"0,01",,,60
SAFLUTAN 15 MCG / ML 30 FLAC COM 0,SAFLUTAN,,FRASCO,"0,02",,,30
SPIRIVA 18 MCG COM 30 CAPSULAS + HANDIH,SPIRIVA,,COMPRIMIDO/CAPSULA,"0,02",,,30
CIPROFLOXACINO 2 MG COM 100 ML CIPROCINA,CIPROFLOXACINO,CIPROCINA,SOLUCAO,"0,02",100,,
129 OXIDO DE ZINCO ASSOCIADO COM VITAMINA A + VITAMINA,OXIDO DE ZINCO + VITAMINA A + VITAMINA,,UNIDADE,,,,
ALPROSTADIL 20 MCG / ML 1 ML AM 1 UN,ALPROSTADIL,,AMPOLA OU FRASCO-AMPOLA,"0,02",1,,1
ALPROSTADIL 20 MCG FRASCO AMPOLA SOLUCAO INJETAVEL 1 ML,ALPROSTADIL,,AMPOLA OU FRASCO-AMPOLA,"0,02",1,,
ALPROSTADIL 20 MCG OI LIOFILO INJ,ALPROSTADIL,,INJETAVEL,"0,02",,,
